user_id,post_id
user_3097,9883
user_3510,9887
user_2947,9891
user_3316,9894
user_2947,9896
user_7050,9900
user_147,9901
user_3510,9902
user_3202,9904
user_757,9916
user_246,9920
user_19,9921
user_49,9923
user_687,9924
user_7,9925
user_6894,9930
user_227,9932
user_6507,9941
user_5002,9943
user_627,9944
user_627,9945
user_879,9947
user_6454,9948
user_627,9957
user_2974,9963
user_7,9964
user_6429,9966
user_3510,9967
user_6429,9968
user_3332,9969
user_6421,9971
user_6837,9975
user_2072,9980
user_3545,9983
user_3202,9984
user_3434,9988
user_224,10002
user_7079,10003
user_328,10004
user_2087,10012
user_3014,10014
user_2550,10017
user_3202,10019
user_3202,10021
user_19,10023
user_7086,10030
user_6781,10037
user_2801,10038
user_147,10054
user_6421,10055
user_4857,10058
user_760,10064
user_75,10069
user_2252,10074
user_49,10077
user_49,10082
user_2054,10086
user_294,10098
user_19,10100
user_189,10102
user_6799,10104
user_7146,10107
user_2947,10110
user_6986,10115
user_2947,10117
user_288,10118
user_3510,10126
user_6511,10128
user_5002,10129
user_4857,10131
user_7162,10133
user_7038,10134
user_6595,10135
user_282,10136
user_6595,10137
user_509,10140
user_29,10150
user_328,10153
user_3510,10154
user_2947,10158
user_6507,10159
user_2318,10164
user_28,10166
user_3510,10168
user_7182,10174
user_5002,10180
user_7198,10191
user_2919,10205
user_6429,10218
user_246,10223
user_7076,10232
user_2947,10239
user_6894,10254
user_7,10257
user_7237,10267
user_49,10276
user_19,10278
user_98,10280
user_6986,10285
user_6421,10295
user_3510,10298
user_147,10300
user_2926,10306
user_98,10307
user_5002,10308
user_3510,10310
user_2926,10313
user_6421,10320
user_5002,10322
user_6511,10325
user_30,10331
user_2071,10332
user_5213,10335
user_7135,10338
user_6429,10340
user_757,10341
user_1985,10349
user_7000,10350
user_3510,10360
user_98,10377
user_189,10379
user_5002,10386
user_7162,10388
user_288,10391
user_3510,10394
user_288,10399
user_75,10400
user_6429,10403
user_6507,10428
user_7174,10442
user_2920,10448
user_687,10450
user_98,10457
user_3510,10463
user_2252,10470
user_7337,10472
user_5002,10489
user_288,10502
user_6986,10508
user_3510,10510
user_7325,10522
user_7355,10529
user_6507,10533
user_7357,10542
user_7357,10543
user_7190,10547
user_7312,10581
user_2252,10582
user_7382,10608
user_3316,10609
user_262,10610
user_3082,10612
user_3434,10613
user_7061,10615
user_6714,10618
user_666,10630
user_7389,10636
user_7038,10639
user_2052,10640
user_6429,10645
user_7394,10646
user_224,10658
user_7403,10661
user_3510,10669
user_6421,10682
user_7415,10683
user_6429,10688
user_6429,10690
user_7417,10693
user_7419,10694
user_5002,10704
user_7423,10709
user_697,10710
user_6799,10735
user_2052,10744
user_5304,10746
user_5002,10748
user_2113,10749
user_2947,10761
user_2071,10781
user_19,10790
user_6507,10792
user_879,10793
user_49,10794
user_19,10796
user_7357,10804
user_7351,10806
user_4790,10810
user_6652,10813
user_19,10815
user_7461,10819
user_2812,10820
user_3407,10824
user_6507,10825
user_7351,10831
user_70,10838
user_458,10840
user_3082,10845
user_755,10852
user_98,10853
user_7143,10856
user_6799,10875
user_3434,10880
user_75,10901
user_49,10914
user_328,10918
user_6507,10923
user_7,10930
user_7351,10931
user_3510,10939
user_6972,10940
user_3202,10943
user_19,10946
user_7356,10947
user_6894,10950
user_179,10951
user_2326,10955
user_3468,10957
user_288,10962
user_6799,10964
user_2884,10965
user_75,10978
user_75,10985
user_6421,10988
user_6837,10991
user_75,10994
user_627,10995
user_9,11011
user_6799,11019
user_22,11042
user_22,11043
user_3202,11052
user_9,11056
user_3202,11060
